title,price,rating_average,total_reviews,permalink
Tarjera Esp32-cam Wifi Bluetooth Ov2640,5000.0,4.5,17,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=MKMq64hyHKitkxxNGw2ylevK4weESCSlfKRzZhofnflvfDCFjylODvi%2ByoQHxgmypzgcqF%2B3x7EZhbWa%2FGqAYS%2B2kuyoMKx%2B5hDx9I8j8b1ifdml5OMH%2BqczkAcLJH%2Bffsy2tLaECLJG4nLTz4AfPliF%2FpjFIJYtMjfZClcq0mB7f%2BnKfgfXT7AQCQaSiw0WEkSvia4cLu%2FjmQjLlkHFyJqSo7CES39hgoAcSCxSX0HjdOaNdg75QLDeRYtJNcucB7YKdGYFt5c7Wlad0bFIeXVMN%2FNYUsjlBeBeKqopis9iZLBpeULgHVf0Nyp71M0tMzaojqLLhKjb3yK2rGM7nxZlPF5WpQOpenKdAOnzOVcqjh7YagQR3MX%2FNTkR%2B63l6HheYcQ5m0ErIIZK1smwmR61RymgwwNJ7e2P9vhdWFI2sKw3h0pZPZsm6oOoebhO4yuWZRDWkbqpO4brngL2mAzEgaAPwXF4bZuuu536fmFh2pi4P%2FjIWyQMK5YyZ3LpnRHhqDDdZSNv4h1kt%2F5Z4jIGvMjWmZe0c3Z8u7eN1Vv7VqabBKqfxzo4qLMxJZuFls%2BdEojzqTmn%2BPeXUACvFlSc8GHcAyi5dR9PIWyGQctaHhWFFmgStAtFW3q5ynQbCLMPR8rYwdTWqeHtwtDhKtM7tQdTJlm3qWAxzuw77jJufUlp2lTSaYh%2FG6Vf7oJ4TAWVV6GuoGW9loyzNm8UFvTZUPN0aTDKpgYNa%2BHWzB%2B9dzDxYDCNx%2FCO&rb=x#polycard_client=search-nordic&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14
Tarjeta De Desarrollo Esp32-s3 N16r8,4000.0,4.7,16,https://articulo.mercadolibre.com.co/MCO-1969788328-tarjeta-de-desarrollo-esp32-s3-n16r8-_JM#polycard_client=search-nordic&position=16&search_layout=stack&type=item&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14
Arduino Nano Esp32 Abx00092,65000.0,5.0,1,https://www.mercadolibre.com.co/arduino-nano-esp32-abx00092/p/MCO32626326#polycard_client=search-nordic&searchVariation=MCO32626326&position=13&search_layout=stack&type=product&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14&wid=MCO1409793557&sid=search
Tarjera Esp32-cam Wifi Bluetooth Ov2640,5000.0,4.5,17,https://articulo.mercadolibre.com.co/MCO-587697293-tarjera-esp32-cam-wifi-bluetooth-ov2640-_JM#polycard_client=search-nordic&position=17&search_layout=stack&type=item&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14
Tarjeta Esp32-s3 Uno Wifi N16r8 Tipo C,4000.0,5.0,1,https://articulo.mercadolibre.com.co/MCO-2447296312-tarjeta-esp32-s3-uno-wifi-n16r8-tipo-c-_JM#polycard_client=search-nordic&position=18&search_layout=stack&type=item&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14
"Esp32-s3 Wroom N8r2 240mhz Wifi Ble, Potencia Ia Y Psram",4200.0,0.0,0,https://articulo.mercadolibre.com.co/MCO-2661733864-esp32-s3-wroom-n8r2-240mhz-wifi-ble-potencia-ia-y-psram-_JM#polycard_client=search-nordic&position=19&search_layout=stack&type=item&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14
Tarjeta Esp32-cam Wifi Bluetooth Con Camara Ov2640,5000.0,3.9,11,https://articulo.mercadolibre.com.co/MCO-1325100401-tarjeta-esp32-cam-wifi-bluetooth-con-camara-ov2640-_JM#polycard_client=search-nordic&position=20&search_layout=stack&type=item&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14
Tarjeta Esp32-s3 N16r8 Doble Puerto Usb Tipo C 16mb Arduino,8770.0,0.0,0,https://articulo.mercadolibre.com.co/MCO-1968529886-tarjeta-esp32-s3-n16r8-doble-puerto-usb-tipo-c-16mb-arduino-_JM#polycard_client=search-nordic&position=21&search_layout=stack&type=item&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14
Tarjeta Desarrollo Esp32-s3 N16r8 Doble Puerto Usb Tipo C,1800.0,0.0,0,https://articulo.mercadolibre.com.co/MCO-1494660367-tarjeta-desarrollo-esp32-s3-n16r8-doble-puerto-usb-tipo-c-_JM#polycard_client=search-nordic&position=22&search_layout=stack&type=item&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14
Tarjeta Desarrollo Esp32-s3 N16r8 Doble Puerto Usb Tipo C,1800.0,0.0,0,https://articulo.mercadolibre.com.co/MCO-1494736813-tarjeta-desarrollo-esp32-s3-n16r8-doble-puerto-usb-tipo-c-_JM#polycard_client=search-nordic&position=23&search_layout=stack&type=item&tracking_id=a2e3469c-7280-45d9-ba71-a87f797eba14
